C3,C4,Timestamp
-151045.57884282814,-120963.52827114204,1747830157.97411
-151030.78198799872,-120963.17064323075,1747830157.981104
-151044.12597943854,-120966.38929443233,1747830157.988058
-151033.77712175573,-120965.33876244293,1747830157.994144
-151041.8461015041,-120969.0044485336,1747830158.001106
-151037.5098630798,-120967.84215782193,1747830158.008078
-151034.31356362268,-120966.16577698778,1747830158.015118
-151034.8500054896,-120963.64002986433,1747830158.023083
-151028.3009443642,-120964.53409964254,1747830158.031066
-151036.61579330158,-120964.28823045353,1747830158.038092
-151023.71883675086,-120964.22117522015,1747830158.046084
-151036.5487380682,-120963.26005020858,1747830158.070178
-151020.0978541491,-120964.55645138699,1747830158.0772
-151038.58274681363,-120965.2046519762,1747830158.084185
-151014.15229012398,-120961.8518903079,1747830158.091265
-151038.42628460244,-120965.15994848729,1747830158.097278
-151012.43120580094,-120962.52244264155,1747830158.104232
-151036.61579330158,-120964.37763743135,1747830158.111316
-151013.30292383468,-120965.0034862761,1747830158.117301
-151034.6041363006,-120964.08706475343,1747830158.124318
-151010.57601101114,-120962.96947753067,1747830158.131341
-151035.22998514533,-120967.12690199935,1747830158.137348
